Gen	MaxFit	AvgFit	Diversity
230	0.3167	0.3149	1.74e-03
231	0.3167	0.3147	2.00e-03
232	0.3167	0.3148	1.92e-03
233	0.3167	0.3148	1.83e-03
234	0.3167	0.3149	1.76e-03
235	0.3167	0.3148	1.88e-03
236	0.3167	0.3147	1.98e-03
237	0.3167	0.3148	1.84e-03
238	0.3167	0.3148	1.86e-03
239	0.3167	0.3148	1.87e-03
240	0.3167	0.3149	1.79e-03
241	0.3167	0.3150	1.68e-03
242	0.3167	0.3148	1.87e-03
243	0.3200	0.3149	5.09e-03
244	0.3233	0.3151	8.29e-03
245	0.3200	0.3143	5.74e-03
246	0.3200	0.3182	1.77e-03
247	0.3200	0.3181	1.89e-03
248	0.3200	0.3182	1.80e-03
249	0.3200	0.3179	2.11e-03
250	0.3200	0.3182	1.86e-03
251	0.3200	0.3181	1.90e-03
252	0.3200	0.3183	1.76e-03
253	0.3233	0.3180	5.30e-03
254	0.3233	0.3185	4.87e-03
255	0.3233	0.3198	3.53e-03
256	0.3267	0.3214	5.32e-03
257	0.3267	0.3216	5.04e-03
258	0.3267	0.3236	3.04e-03
259	0.3267	0.3248	1.83e-03
260	0.3267	0.3249	1.80e-03
261	0.3267	0.3247	1.93e-03
262	0.3267	0.3246	2.06e-03
263	0.3267	0.3247	1.98e-03
264	0.3267	0.3248	1.87e-03
265	0.3267	0.3250	1.66e-03
266	0.3267	0.3246	2.12e-03
267	0.3267	0.3246	2.09e-03
268	0.3267	0.3248	1.92e-03
269	0.3267	0.3245	2.14e-03
270	0.3267	0.3248	1.87e-03
271	0.3267	0.3246	2.08e-03
272	0.3267	0.3248	1.88e-03
273	0.3267	0.3249	1.82e-03
274	0.3267	0.3247	2.02e-03
275	0.3267	0.3247	2.01e-03
276	0.3267	0.3249	1.81e-03
277	0.3267	0.3246	2.03e-03
278	0.3267	0.3247	1.99e-03
279	0.3267	0.3250	1.69e-03
280	0.3267	0.3246	2.04e-03
281	0.3267	0.3243	2.33e-03
282	0.3267	0.3250	1.68e-03
283	0.3267	0.3249	1.73e-03
284	0.3267	0.3246	2.06e-03
285	0.3267	0.3247	2.00e-03
286	0.3300	0.3248	5.23e-03
287	0.3300	0.3250	4.98e-03
288	0.3300	0.3257	4.36e-03
289	0.3300	0.3280	2.01e-03
290	0.3300	0.3282	1.83e-03
291	0.3300	0.3282	1.84e-03
292	0.3300	0.3277	2.27e-03
293	0.3333	0.3282	5.14e-03
294	0.3333	0.3283	5.02e-03
295	0.3333	0.3316	1.78e-03
296	0.3333	0.3316	1.77e-03
297	0.3333	0.3313	2.08e-03
298	0.3333	0.3313	2.04e-03
299	0.3333	0.3314	1.93e-03
300	0.3333	0.3313	2.00e-03
301	0.3333	0.3316	1.73e-03
302	0.3333	0.3312	2.17e-03
303	0.3333	0.3314	1.96e-03
304	0.3333	0.3314	1.94e-03
305	0.3333	0.3314	1.93e-03
306	0.3333	0.3310	2.31e-03
307	0.3333	0.3313	2.02e-03
308	0.3333	0.3312	2.17e-03
309	0.3333	0.3314	1.96e-03
310	0.3333	0.3315	1.86e-03
311	0.3333	0.3314	1.92e-03
312	0.3333	0.3314	1.94e-03
313	0.3333	0.3313	2.00e-03
314	0.3333	0.3310	2.30e-03
315	0.3333	0.3312	2.14e-03
316	0.3333	0.3315	1.89e-03
317	0.3333	0.3311	2.29e-03
318	0.3333	0.3315	1.84e-03
319	0.3333	0.3315	1.87e-03
320	0.3333	0.3315	1.89e-03
321	0.3333	0.3316	1.79e-03
322	0.3333	0.3312	2.12e-03
323	0.3333	0.3314	1.99e-03
324	0.3333	0.3315	1.86e-03
325	0.3333	0.3312	2.19e-03
326	0.3333	0.3315	1.84e-03
327	0.3333	0.3315	1.86e-03
328	0.3333	0.3315	1.87e-03
329	0.3333	0.3314	1.97e-03
330	0.3333	0.3313	2.01e-03
331	0.3333	0.3313	2.07e-03
332	0.3333	0.3316	1.76e-03
333	0.3333	0.3313	2.03e-03
334	0.3333	0.3311	2.22e-03
335	0.3333	0.3313	2.06e-03
336	0.3333	0.3312	2.17e-03
337	0.3333	0.3312	2.13e-03
338	0.3333	0.3315	1.83e-03
339	0.3333	0.3314	1.92e-03
340	0.3333	0.3313	2.01e-03
341	0.3333	0.3314	1.99e-03
342	0.3333	0.3314	1.92e-03
343	0.3333	0.3317	1.69e-03
344	0.3333	0.3313	2.06e-03
345	0.3333	0.3313	2.02e-03
346	0.3333	0.3314	1.97e-03
347	0.3333	0.3317	1.69e-03
348	0.3333	0.3314	1.97e-03
349	0.3333	0.3311	2.22e-03
350	0.3333	0.3315	1.84e-03
351	0.3333	0.3313	2.02e-03
352	0.3333	0.3314	1.94e-03
353	0.3333	0.3314	1.97e-03
354	0.3333	0.3314	1.96e-03
355	0.3333	0.3313	2.08e-03
356	0.3333	0.3312	2.16e-03
357	0.3333	0.3314	1.92e-03
358	0.3333	0.3313	2.04e-03
359	0.3333	0.3311	2.21e-03
360	0.3333	0.3315	1.80e-03
361	0.3333	0.3313	2.06e-03
362	0.3333	0.3314	1.92e-03
363	0.3333	0.3314	1.98e-03
364	0.3333	0.3314	1.93e-03
365	0.3333	0.3313	2.02e-03
366	0.3333	0.3315	1.84e-03
367	0.3333	0.3313	2.04e-03
368	0.3333	0.3313	2.09e-03
369	0.3333	0.3312	2.16e-03
370	0.3333	0.3313	2.09e-03
371	0.3333	0.3310	2.31e-03
372	0.3333	0.3315	1.88e-03
373	0.3333	0.3314	1.94e-03
374	0.3333	0.3313	2.00e-03
375	0.3333	0.3315	1.87e-03
376	0.3333	0.3314	1.92e-03
377	0.3333	0.3314	1.93e-03
378	0.3333	0.3311	2.29e-03
379	0.3333	0.3314	1.94e-03
380	0.3333	0.3315	1.89e-03
381	0.3333	0.3315	1.80e-03
382	0.3333	0.3314	1.93e-03
383	0.3333	0.3314	1.99e-03
384	0.3333	0.3315	1.86e-03
385	0.3333	0.3314	1.94e-03
386	0.3333	0.3317	1.66e-03
387	0.3333	0.3317	1.64e-03
388	0.3333	0.3316	1.71e-03
389	0.3333	0.3314	1.91e-03
390	0.3333	0.3313	2.01e-03
391	0.3333	0.3312	2.14e-03
392	0.3333	0.3315	1.89e-03
393	0.3333	0.3312	2.18e-03
394	0.3333	0.3313	2.03e-03
395	0.3333	0.3315	1.87e-03
396	0.3333	0.3313	2.07e-03
397	0.3333	0.3316	1.70e-03
398	0.3333	0.3313	2.04e-03
399	0.3333	0.3315	1.88e-03
400	0.3333	0.3315	1.83e-03
401	0.3333	0.3316	1.79e-03
402	0.3333	0.3310	2.37e-03
403	0.3333	0.3312	2.11e-03
404	0.3333	0.3314	1.91e-03
405	0.3333	0.3313	2.02e-03
406	0.3333	0.3313	2.01e-03
407	0.3333	0.3316	1.76e-03
408	0.3333	0.3314	1.98e-03
409	0.3333	0.3309	2.44e-03
410	0.3333	0.3312	2.17e-03
411	0.3333	0.3314	1.91e-03
412	0.3333	0.3315	1.80e-03
413	0.3333	0.3313	2.03e-03
414	0.3333	0.3313	2.01e-03
415	0.3333	0.3313	2.01e-03
416	0.3333	0.3315	1.86e-03
417	0.3333	0.3315	1.89e-03
418	0.3333	0.3311	2.22e-03
419	0.3333	0.3311	2.22e-03
420	0.3333	0.3315	1.80e-03
421	0.3333	0.3314	1.93e-03
422	0.3333	0.3314	1.99e-03
423	0.3333	0.3314	1.94e-03
424	0.3333	0.3315	1.81e-03
425	0.3333	0.3310	2.30e-03
426	0.3333	0.3312	2.11e-03
427	0.3333	0.3314	1.98e-03
428	0.3333	0.3312	2.10e-03
429	0.3333	0.3316	1.78e-03
430	0.3333	0.3314	1.90e-03
431	0.3333	0.3311	2.22e-03
432	0.3333	0.3315	1.84e-03
433	0.3333	0.3310	2.32e-03
434	0.3333	0.3317	1.61e-03
435	0.3333	0.3312	2.16e-03
436	0.3333	0.3313	2.06e-03
437	0.3333	0.3314	1.98e-03
438	0.3333	0.3310	2.38e-03
439	0.3333	0.3313	2.08e-03
440	0.3333	0.3314	1.93e-03
441	0.3333	0.3313	2.01e-03
442	0.3333	0.3315	1.89e-03
443	0.3333	0.3316	1.73e-03
