Gen	MaxFit	AvgFit	Diversity
268	0.7300	0.7244	5.60e-03
269	0.7300	0.7253	4.70e-03
270	0.7400	0.7255	1.45e-02
271	0.7300	0.7193	1.07e-02
272	0.7300	0.7241	5.90e-03
273	0.7400	0.7249	1.51e-02
274	0.7400	0.7238	1.62e-02
275	0.7400	0.7242	1.58e-02
276	0.7400	0.7248	1.52e-02
277	0.7400	0.7239	1.61e-02
278	0.7400	0.7198	2.02e-02
279	0.7500	0.7237	2.63e-02
280	0.7400	0.7212	1.88e-02
281	0.7400	0.7157	2.43e-02
282	0.7300	0.7192	1.08e-02
283	0.7300	0.7257	4.30e-03
284	0.7400	0.7250	1.50e-02
285	0.7400	0.7296	1.04e-02
286	0.7400	0.7345	5.50e-03
287	0.7400	0.7353	4.70e-03
288	0.7400	0.7344	5.60e-03
289	0.7400	0.7341	5.90e-03
290	0.7400	0.7343	5.70e-03
291	0.7400	0.7348	5.20e-03
292	0.7400	0.7341	5.90e-03
293	0.7400	0.7342	5.80e-03
294	0.7500	0.7343	1.57e-02
295	0.7400	0.7305	9.50e-03
296	0.7400	0.7352	4.80e-03
297	0.7400	0.7351	4.90e-03
298	0.7500	0.7344	1.56e-02
299	0.7500	0.7344	1.56e-02
300	0.7600	0.7361	2.39e-02
301	0.7500	0.7356	1.44e-02
302	0.7500	0.7447	5.30e-03
303	0.7600	0.7442	1.58e-02
304	0.7600	0.7486	1.14e-02
305	0.7700	0.7548	1.52e-02
306	0.7600	0.7550	5.00e-03
307	0.7700	0.7537	1.63e-02
308	0.7700	0.7602	9.80e-03
309	0.7700	0.7654	4.60e-03
310	0.7700	0.7623	7.70e-03
311	0.7700	0.7649	5.10e-03
312	0.7800	0.7645	1.55e-02
313	0.7800	0.7651	1.49e-02
314	0.7900	0.7745	1.55e-02
315	0.7800	0.7657	1.43e-02
316	0.7800	0.7735	6.50e-03
317	0.7800	0.7741	5.90e-03
318	0.7800	0.7750	5.00e-03
319	0.7800	0.7738	6.20e-03
320	0.7800	0.7749	5.10e-03
321	0.7800	0.7746	5.40e-03
322	0.7800	0.7747	5.30e-03
323	0.7800	0.7755	4.50e-03
324	0.7800	0.7750	5.00e-03
325	0.7800	0.7724	7.60e-03
326	0.7900	0.7746	1.54e-02
327	0.7800	0.7692	1.08e-02
328	0.7900	0.7729	1.71e-02
