Gen	MaxFit	AvgFit	Diversity
491	0.1008	0.0940	6.82e-03
492	0.0996	0.0939	5.62e-03
493	0.1002	0.0945	5.72e-03
494	0.0996	0.0941	5.46e-03
495	0.0996	0.0943	5.30e-03
496	0.1002	0.0940	6.21e-03
497	0.1002	0.0940	6.17e-03
498	0.1008	0.0941	6.74e-03
499	0.1008	0.0936	7.22e-03
500	0.1002	0.0943	5.94e-03
501	0.1002	0.0946	5.62e-03
502	0.1008	0.0934	7.40e-03
503	0.1021	0.0941	8.04e-03
504	0.1033	0.0950	8.40e-03
505	0.1015	0.0938	7.69e-03
506	0.1002	0.0937	6.50e-03
507	0.1008	0.0933	7.54e-03
508	0.1015	0.0939	7.54e-03
509	0.1021	0.0929	9.17e-03
510	0.1021	0.0931	9.02e-03
511	0.1008	0.0937	7.14e-03
512	0.1015	0.0945	6.97e-03
513	0.1021	0.0951	7.00e-03
514	0.1027	0.0959	6.80e-03
515	0.1021	0.0959	6.16e-03
516	0.1033	0.0962	7.15e-03
517	0.1027	0.0959	6.80e-03
518	0.1008	0.0951	5.71e-03
519	0.1027	0.0949	7.82e-03
520	0.1027	0.0945	8.23e-03
521	0.1033	0.0958	7.60e-03
522	0.1027	0.0957	6.99e-03
523	0.1033	0.0969	6.49e-03
524	0.1040	0.0967	7.27e-03
525	0.1015	0.0962	5.26e-03
526	0.1027	0.0967	6.04e-03
527	0.1033	0.0959	7.45e-03
528	0.1033	0.0957	7.69e-03
529	0.1033	0.0965	6.87e-03
530	0.1021	0.0960	6.10e-03
531	0.1027	0.0964	6.32e-03
532	0.1027	0.0957	7.03e-03
533	0.1046	0.0957	8.94e-03
534	0.1033	0.0964	6.98e-03
535	0.1033	0.0970	6.37e-03
536	0.1033	0.0982	5.14e-03
537	0.1040	0.0985	5.51e-03
538	0.1046	0.0989	5.75e-03
539	0.1046	0.0996	5.03e-03
540	0.1046	0.0994	5.18e-03
541	0.1052	0.0996	5.66e-03
542	0.1046	0.0996	5.05e-03
543	0.1052	0.1001	5.16e-03
544	0.1065	0.1006	5.89e-03
545	0.1059	0.1006	5.26e-03
546	0.1052	0.1005	4.74e-03
547	0.1059	0.1007	5.14e-03
548	0.1059	0.1002	5.66e-03
549	0.1065	0.1007	5.80e-03
550	0.1059	0.1004	5.46e-03
551	0.1059	0.1004	5.52e-03
552	0.1078	0.1005	7.23e-03
553	0.1065	0.1001	6.40e-03
554	0.1059	0.0998	6.04e-03
555	0.1059	0.0996	6.24e-03
556	0.1059	0.1001	5.75e-03
557	0.1052	0.0997	5.58e-03
558	0.1071	0.0996	7.50e-03
559	0.1065	0.0994	7.08e-03
560	0.1071	0.1001	7.02e-03
561	0.1071	0.0991	8.04e-03
562	0.1071	0.0985	8.66e-03
563	0.1059	0.0977	8.14e-03
564	0.1033	0.0970	6.33e-03
565	0.1052	0.0978	7.42e-03
566	0.1046	0.0983	6.36e-03
567	0.1046	0.0988	5.81e-03
568	0.1065	0.0990	7.45e-03
569	0.1052	0.0994	5.80e-03
570	0.1065	0.0994	7.07e-03
571	0.1059	0.0995	6.34e-03
572	0.1065	0.1001	6.43e-03
573	0.1052	0.0999	5.35e-03
574	0.1052	0.1001	5.17e-03
575	0.1059	0.0996	6.31e-03
576	0.1052	0.0991	6.18e-03
577	0.1046	0.0992	5.39e-03
578	0.1059	0.0994	6.45e-03
579	0.1059	0.0995	6.35e-03
580	0.1065	0.1002	6.32e-03
581	0.1065	0.1001	6.38e-03
582	0.1065	0.0993	7.19e-03
583	0.1059	0.0991	6.79e-03
584	0.1071	0.0993	7.88e-03
585	0.1071	0.0994	7.70e-03
586	0.1078	0.0997	8.02e-03
587	0.1071	0.0995	7.60e-03
588	0.1078	0.0993	8.41e-03
589	0.1071	0.0988	8.29e-03
590	0.1059	0.0996	6.30e-03
591	0.1071	0.1006	6.55e-03
592	0.1078	0.1005	7.27e-03
593	0.1078	0.1003	7.49e-03
594	0.1078	0.0996	8.16e-03
595	0.1078	0.0994	8.34e-03
596	0.1071	0.0990	8.12e-03
597	0.1046	0.0986	6.05e-03
598	0.1065	0.0993	7.15e-03
599	0.1071	0.0988	8.35e-03
600	0.1065	0.0983	8.20e-03
601	0.1071	0.0987	8.45e-03
602	0.1065	0.0986	7.86e-03
603	0.1065	0.0992	7.33e-03
604	0.1052	0.0994	5.81e-03
605	0.1065	0.0995	6.96e-03
606	0.1065	0.0998	6.66e-03
607	0.1078	0.0990	8.71e-03
608	0.1071	0.0992	7.94e-03
609	0.1065	0.0998	6.74e-03
610	0.1078	0.1000	7.81e-03
611	0.1078	0.1005	7.28e-03
612	0.1071	0.1003	6.88e-03
613	0.1065	0.0998	6.67e-03
614	0.1071	0.0995	7.67e-03
615	0.1065	0.0996	6.87e-03
616	0.1059	0.1002	5.63e-03
617	0.1059	0.1003	5.60e-03
618	0.1059	0.1002	5.65e-03
619	0.1052	0.1009	4.35e-03
620	0.1059	0.1011	4.73e-03
621	0.1071	0.1017	5.41e-03
622	0.1071	0.1016	5.52e-03
623	0.1078	0.1021	5.71e-03
624	0.1078	0.1026	5.18e-03
625	0.1071	0.1018	5.28e-03
626	0.1078	0.1022	5.58e-03
627	0.1071	0.1025	4.62e-03
628	0.1078	0.1027	5.09e-03
629	0.1071	0.1024	4.76e-03
630	0.1078	0.1025	5.27e-03
631	0.1078	0.1028	4.99e-03
632	0.1078	0.1031	4.70e-03
633	0.1084	0.1031	5.25e-03
634	0.1090	0.1030	6.03e-03
635	0.1084	0.1025	5.88e-03
636	0.1090	0.1026	6.38e-03
637	0.1090	0.1024	6.63e-03
638	0.1090	0.1020	7.00e-03
639	0.1078	0.1013	6.50e-03
640	0.1084	0.1013	7.09e-03
641	0.1071	0.1011	6.05e-03
642	0.1059	0.1010	4.87e-03
643	0.1065	0.1010	5.50e-03
644	0.1071	0.1005	6.62e-03
645	0.1071	0.1010	6.15e-03
646	0.1071	0.1008	6.30e-03
647	0.1071	0.1015	5.67e-03
648	0.1071	0.1012	5.97e-03
649	0.1078	0.1008	6.99e-03
650	0.1071	0.1006	6.54e-03
651	0.1071	0.1009	6.22e-03
652	0.1078	0.0999	7.83e-03
653	0.1065	0.0999	6.59e-03
654	0.1071	0.1004	6.73e-03
655	0.1065	0.1001	6.40e-03
656	0.1065	0.0999	6.58e-03
657	0.1059	0.1011	4.80e-03
658	0.1065	0.1011	5.42e-03
659	0.1065	0.1014	5.09e-03
660	0.1071	0.1021	5.03e-03
661	0.1071	0.1018	5.37e-03
662	0.1065	0.1014	5.08e-03
663	0.1065	0.1013	5.21e-03
664	0.1059	0.1009	4.99e-03
665	0.1090	0.1018	7.26e-03
666	0.1084	0.1010	7.36e-03
667	0.1084	0.1015	6.90e-03
668	0.1084	0.1010	7.39e-03
669	0.1078	0.1007	7.08e-03
670	0.1078	0.1007	7.07e-03
671	0.1078	0.1016	6.14e-03
672	0.1078	0.1017	6.07e-03
673	0.1078	0.1020	5.72e-03
674	0.1090	0.1028	6.24e-03
675	0.1097	0.1027	6.95e-03
676	0.1090	0.1027	6.36e-03
677	0.1097	0.1029	6.80e-03
678	0.1097	0.1030	6.64e-03
679	0.1103	0.1029	7.34e-03
680	0.1084	0.1030	5.40e-03
681	0.1084	0.1030	5.36e-03
682	0.1090	0.1031	5.95e-03
683	0.1090	0.1037	5.28e-03
684	0.1097	0.1034	6.30e-03
685	0.1084	0.1037	4.72e-03
686	0.1103	0.1042	6.05e-03
687	0.1097	0.1051	4.57e-03
688	0.1115	0.1050	6.51e-03
689	0.1090	0.1045	4.53e-03
690	0.1090	0.1045	4.55e-03
691	0.1097	0.1042	5.41e-03
692	0.1097	0.1044	5.22e-03
693	0.1090	0.1038	5.25e-03
694	0.1097	0.1039	5.80e-03
695	0.1103	0.1041	6.22e-03
696	0.1115	0.1036	7.90e-03
697	0.1078	0.1033	4.49e-03
698	0.1084	0.1027	5.67e-03
699	0.1090	0.1021	6.97e-03
700	0.1090	0.1020	6.99e-03
701	0.1084	0.1021	6.29e-03
702	0.1078	0.1016	6.19e-03
703	0.1071	0.1017	5.47e-03
704	0.1071	0.1012	5.93e-03
705	0.1078	0.1011	6.70e-03
706	0.1071	0.1011	6.04e-03
707	0.1071	0.1016	5.56e-03
708	0.1071	0.1015	5.63e-03
709	0.1084	0.1007	7.72e-03
710	0.1071	0.1005	6.64e-03
711	0.1078	0.1002	7.57e-03
712	0.1071	0.0992	7.95e-03
713	0.1071	0.0991	8.07e-03
714	0.1071	0.0981	9.05e-03
715	0.1071	0.0968	1.03e-02
716	0.1065	0.0972	9.30e-03
717	0.1065	0.0982	8.30e-03
718	0.1065	0.0975	8.96e-03
719	0.1065	0.0984	8.09e-03
720	0.1065	0.0978	8.69e-03
721	0.1059	0.0973	8.53e-03
722	0.1040	0.0973	6.70e-03
723	0.1040	0.0963	7.71e-03
724	0.1033	0.0955	7.82e-03
725	0.1040	0.0950	8.94e-03
726	0.1027	0.0952	7.55e-03
727	0.1033	0.0957	7.64e-03
728	0.1040	0.0966	7.39e-03
729	0.1027	0.0963	6.47e-03
730	0.1033	0.0963	7.03e-03
731	0.1027	0.0961	6.64e-03
732	0.1033	0.0962	7.14e-03
