Gen	MaxFit	AvgFit	Diversity
226	0.3200	0.3178	2.18e-03
227	0.3233	0.3177	5.62e-03
228	0.3233	0.3181	5.22e-03
229	0.3233	0.3213	2.02e-03
230	0.3233	0.3214	1.99e-03
231	0.3233	0.3214	1.90e-03
232	0.3233	0.3212	2.10e-03
233	0.3233	0.3214	1.99e-03
234	0.3233	0.3215	1.86e-03
235	0.3233	0.3214	1.96e-03
236	0.3233	0.3215	1.82e-03
237	0.3267	0.3216	5.11e-03
238	0.3267	0.3214	5.23e-03
239	0.3267	0.3213	5.37e-03
240	0.3267	0.3230	3.69e-03
241	0.3267	0.3247	1.98e-03
242	0.3267	0.3248	1.86e-03
243	0.3267	0.3245	2.22e-03
244	0.3267	0.3247	2.00e-03
245	0.3267	0.3248	1.87e-03
246	0.3267	0.3245	2.16e-03
247	0.3267	0.3246	2.10e-03
248	0.3267	0.3250	1.68e-03
249	0.3300	0.3250	5.01e-03
250	0.3267	0.3247	2.02e-03
251	0.3267	0.3246	2.10e-03
252	0.3267	0.3248	1.87e-03
253	0.3267	0.3248	1.92e-03
254	0.3267	0.3249	1.82e-03
255	0.3267	0.3248	1.88e-03
256	0.3267	0.3246	2.04e-03
257	0.3267	0.3245	2.18e-03
258	0.3267	0.3248	1.91e-03
259	0.3267	0.3247	1.93e-03
260	0.3300	0.3247	5.33e-03
261	0.3267	0.3248	1.83e-03
262	0.3267	0.3246	2.04e-03
263	0.3267	0.3248	1.91e-03
264	0.3267	0.3249	1.79e-03
265	0.3267	0.3250	1.71e-03
266	0.3267	0.3245	2.13e-03
267	0.3267	0.3249	1.78e-03
268	0.3300	0.3249	5.12e-03
269	0.3267	0.3248	1.89e-03
270	0.3267	0.3249	1.82e-03
271	0.3267	0.3248	1.84e-03
272	0.3267	0.3248	1.89e-03
273	0.3267	0.3246	2.04e-03
274	0.3300	0.3246	5.43e-03
275	0.3267	0.3239	2.78e-03
276	0.3267	0.3247	2.01e-03
277	0.3267	0.3247	2.01e-03
278	0.3267	0.3248	1.87e-03
279	0.3300	0.3249	5.07e-03
280	0.3267	0.3249	1.78e-03
281	0.3267	0.3249	1.76e-03
282	0.3267	0.3245	2.21e-03
283	0.3267	0.3248	1.91e-03
