Gen	FittestString____	MaxFit	AvgFit	Diversity
151	EfHqifjCynYtGscANq	0.1111	0.0286	8.25e-02
152	EfHqifjCynYtGscANk	0.1111	0.0272	8.39e-02
153	EfHqVfjCynYtYscbNk	0.1111	0.0289	8.22e-02
154	ERHqiSjCynYtYscbNq	0.1111	0.0311	8.00e-02
155	ERHqVfjCynYtGscANk	0.1111	0.0294	8.17e-02
156	ERHqVfjCynYtGscANq	0.1111	0.0261	8.50e-02
157	EfHqVfjCynYtGscbNq	0.1111	0.0250	8.61e-02
158	ERHqVSjCynYtGscANk	0.1111	0.0231	8.81e-02
159	ERHqVSjCynYtOscbNq	0.1111	0.0219	8.92e-02
160	EfHqVSjCynYhGscbNq	0.0556	0.0217	3.39e-02
161	EfHqifjCynYtGscbNq	0.1111	0.0222	8.89e-02
162	EfHqVSjCynYtGscANq	0.1111	0.0239	8.72e-02
163	ERHqifjCynYtGscbNq	0.1111	0.0222	8.89e-02
164	ERHqVfjCynYtGscbNk	0.1111	0.0231	8.81e-02
165	ERHqVfjCynYtGscbNk	0.1111	0.0314	7.97e-02
166	ERHqVfjCynYtGscbNq	0.1111	0.0308	8.03e-02
167	ERHqiYjCynYtGscANk	0.1111	0.0267	8.44e-02
168	ERHqifjCynYtGscbNq	0.1111	0.0264	8.47e-02
169	ERHqVfjCynYtGscANq	0.1111	0.0189	9.22e-02
170	EfHqVSjVynYtGscbNn	0.1111	0.0144	9.67e-02
171	ERHqifjCynYtGscbNk	0.1111	0.0086	1.03e-01
172	ERHqifjCynYtGscbNk	0.1111	0.0114	9.97e-02
173	ERHqifjCyOYtGscbNq	0.0556	0.0094	4.61e-02
174	ERHqifjCynYtOscbNk	0.1111	0.0106	1.01e-01
175	ERHqifjCynYhGscbNn	0.0556	0.0103	4.53e-02
176	EfHqifjCynYhGscANk	0.0556	0.0122	4.33e-02
177	ERHqifjCynYhGscbNq	0.0556	0.0139	4.17e-02
178	ERHqifjCynYhGscbNn	0.0556	0.0119	4.36e-02
179	ERHqifjVynYhGscbNk	0.0556	0.0153	4.03e-02
180	EfHqVSjCynYhGscbNq	0.0556	0.0175	3.81e-02
181	EfHqiSjCynYhGscLNq	0.0556	0.0200	3.56e-02
182	ERHqVfjCynYhGscbNk	0.0556	0.0189	3.67e-02
183	EfHqVfjCynYhGscbNq	0.0556	0.0189	3.67e-02
184	ERHqVfjCynYhGscbNq	0.0556	0.0233	3.22e-02
185	ERHqVSjCynYhGscbNn	0.0556	0.0222	3.33e-02
186	ERHqifjCynYhGscLNk	0.0556	0.0211	3.44e-02
187	EfHqiSjCynYhGscLNq	0.0556	0.0208	3.47e-02
188	ERHqVfjCynYhGscbNk	0.0556	0.0247	3.08e-02
189	ERHqifjCynYhGscLNq	0.0556	0.0278	2.78e-02
190	ERHqVfjCynYhGscbNk	0.0556	0.0256	3.00e-02
191	ERHqVfjCynYhGscbNn	0.0556	0.0269	2.86e-02
192	ERHqVfjCynYhGscbNk	0.0556	0.0308	2.47e-02
193	EfOqVfjCynYhGscLNk	0.0556	0.0292	2.64e-02
194	EROqVfjCynYhGscLNq	0.0556	0.0272	2.83e-02
195	ERHqVfjCynYhGscbNq	0.0556	0.0244	3.11e-02
196	EfHqVfjCynYhGscLNk	0.0556	0.0222	3.33e-02
197	EROqifjCynYhGscbNk	0.0556	0.0242	3.14e-02
198	ERHqifjCynYhGscbNq	0.0556	0.0247	3.08e-02
199	ERHqVfjCynYhGscLNk	0.0556	0.0225	3.31e-02
200	EROqifjCynYhGscLNk	0.0556	0.0164	3.92e-02
201	ERHqifjCynYhGscbNk	0.0556	0.0172	3.83e-02
202	EROqifjCynYhGscbNk	0.0556	0.0142	4.14e-02
203	ERHqifjCynYhGscbNq	0.0556	0.0117	4.39e-02
204	EROqifjCynYhGscLNq	0.0556	0.0144	4.11e-02
205	ERHqifjCynYhGscLNq	0.0556	0.0136	4.19e-02
206	EROqifjCynYhGscbNk	0.0556	0.0147	4.08e-02
207	ERHqifjCynYhGscLNk	0.0556	0.0131	4.25e-02
208	ERHqifjCynYhGscbNq	0.0556	0.0053	5.03e-02
209	EfOqiSjCynYhGscbNk	0.0556	0.0033	5.22e-02
210	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
211	EROqifjCyOYhGscbNq	0.0000	0.0000	2.12e-21
212	ERHqifjCyOYhGscbNq	0.0000	0.0000	2.12e-21
213	EROqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
214	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
215	EROqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
